0|url-tracker  | 2025-05-13T07:21:08: Successfully updated end time for campaign 1016596
0|url-tracker  | 2025-05-13T07:21:08: Confirmed end time update for campaign 1016596
0|url-tracker  | 2025-05-13T07:21:08: Activating campaign 1016596
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:08: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:08: Successfully activated campaign 1016596
0|url-tracker  | 2025-05-13T07:21:08: ✅ REACTIVATED campaign 1016596 during monitoring - it has 9323 remaining clicks
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:08: 7:21:08 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:08: ✅ Marked campaign 1 as 'reactivated_during_monitoring' in database
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:09: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:09: 7:21:09 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:10: 7:21:10 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:11: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:11: 7:21:11 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
